unit,s_adj,bop_item,stk_flow,partner,geo\time	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 
PC_GDP,NSA,FA,N_LE,WRL_REST,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-13.9 	-12.2 	-11.5 	-16.7 	-17.3 	-17.5 	-15.5 	-16.2 	-15.5 	-16.4 	-20.4 	-20.9 	-17.7 	-22.1 	-24.7 	-20.5 	-19.7 	-16.7 	-15.8 	-12.8 	-11.9 	-12.2 	-12.1 	-13.0 	-11.2 	-10.8 	-10.0 	-15.5 	-10.4 	-12.4 	-13.5 	-12.9 	-10.6 	-8.7 	-8.3 	-9.7 	-8.6 	-6.8 	-4.6 	-10.0 	-6.1 	-5.3 	-4.9 	-5.0 	-2.6 	-3.4 	-3.6 	-5.2 	-1.2 	-4.0 	-7.1 	-1.9 	-1.0 	-1.6 	-0.7 	-3.2 	0.8 	1.4 	1.4 	1.3 	0.4 	0.9 	3.8 	3.4 	4.6 	4.6 	3.5 	2.2 	0.7 	0.4 	0.8 	3.7 	4.4 	3.0 	3.7 	3.7 	4.4 	5.4 	5.3 	3.8 
PC_GDP,NSA,FA,N_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.5 	35.5 	34.3 	38.4 	37.1 	34.1 	34.0 	34.4 	33.6 	38.4 	36.0 	33.6 	55.2 	55.4 	53.5 	51.8 	51.3 	54.1 	54.4 	57.5 	60.9 	64.3 	60.6 	65.2 	63.8 	63.8 	61.8 	60.9 	60.9 	62.8 	62.0 	51.8 	51.0 	50.7 	49.4 	51.9 	41.8 	39.4 	37.8 	45.1 	48.9 	46.6 	43.7 	45.9 	44.2 	41.9 	44.4 	57.0 	58.6 	53.2 	51.2 	52.4 	52.7 	56.2 	55.5 	43.9 
PC_GDP,NSA,FA,N_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-38.0 	-31.5 	-32.3 	-33.8 	-32.9 	-33.9 	-33.9 	-29.6 	-26.7 	-31.4 	-28.9 	-26.3 	-24.9 	-27.5 	-27.5 	-26.5 	-25.9 	-28.7 	-28.3 	-29.3 	-29.4 	-33.6 	-33.3 	-36.1 	-43.1 	-47.8 	-51.1 	-53.0 	-56.5 	-55.7 	-61.5 	-69.2 	-77.0 	-78.1 	-82.7 	-86.0 	-93.9 	-96.2 	-96.4 	-97.1 	-97.3 	-97.7 	-98.3 	-94.4 	-91.9 	-91.3 	-87.1 	-82.1 	-82.8 	-82.8 	-83.3 	-80.5 	-77.9 	-77.2 	-78.3 	-76.4 	-73.6 	-76.5 	-76.2 	-73.2 	-72.3 	-68.0 	-67.0 	-64.6 	-63.0 	-59.6 	-57.3 	-53.1 	-49.2 	-48.5 	-47.7 	-42.9 	-44.7 	-42.7 	-40.8 	-37.6 	-36.8 
PC_GDP,NSA,FA,N_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-78.0 	-81.9 	-79.5 	-79.1 	-79.6 	-95.4 	-99.0 	-100.3 	-91.0 	-102.2 	-111.7 	-111.2 	-123.6 	-119.7 	-118.8 	-129.9 	-122.1 	-119.6 	-122.8 	-129.1 	-153.8 	-146.7 	-138.4 	-138.7 	-138.0 	-136.0 	-139.2 	-147.0 	-146.2 	-144.5 	-143.4 	-145.0 	-136.6 	-134.0 	-124.9 	-123.0 	-126.1 	-124.0 	-120.9 	-121.1 	-114.0 	-111.2 	-107.9 	-114.7 
PC_GDP,NSA,FA,N_LE,WRL_REST,CZ	3.7 	: 	: 	: 	-3.8 	: 	: 	: 	-5.5 	: 	: 	: 	-5.5 	: 	: 	: 	-4.9 	-6.5 	-6.0 	-5.4 	-8.1 	-8.6 	-9.0 	-9.1 	-9.5 	-14.8 	-13.6 	-14.2 	-14.8 	-13.4 	-14.3 	-15.8 	-18.8 	-15.3 	-18.0 	-19.6 	-24.0 	-23.4 	-22.3 	-24.1 	-23.1 	-24.3 	-25.7 	-26.3 	-28.1 	-30.2 	-32.1 	-35.2 	-36.4 	-36.0 	-37.5 	-37.4 	-38.1 	-37.8 	-41.3 	-43.5 	-43.9 	-43.9 	-43.6 	-45.7 	-46.0 	-46.3 	-47.7 	-46.9 	-45.2 	-46.6 	-46.2 	-46.9 	-45.9 	-44.2 	-45.1 	-43.3 	-41.4 	-38.1 	-39.1 	-38.2 	-36.6 	-31.6 	-31.0 	-32.3 	-32.9 	-29.7 	-28.7 	-28.5 	-26.9 	-21.2 	-24.2 	-25.3 	-25.0 	-24.1 	-22.4 	-23.8 	-23.6 
PC_GDP,NSA,FA,N_LE,WRL_REST,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	: 	: 	: 	1.6 	: 	: 	: 	6.5 	: 	: 	: 	0.0 	: 	: 	: 	0.8 	1.3 	4.0 	4.1 	4.5 	7.1 	9.3 	10.7 	13.3 	15.9 	18.9 	19.4 	19.7 	20.8 	19.9 	18.1 	18.7 	19.2 	22.3 	21.9 	18.1 	16.9 	21.5 	21.1 	25.0 	25.5 	26.5 	23.8 	25.6 	26.6 	25.5 	22.2 	23.2 	24.4 	25.8 	27.1 	28.5 	30.2 	30.4 	32.7 	34.5 	35.4 	37.9 	40.3 	40.6 	41.1 	45.5 	46.4 	46.4 	46.4 	48.8 	49.3 	50.8 	52.3 	53.2 	53.2 	54.4 	56.0 	58.4 	59.3 	60.6 
PC_GDP,NSA,FA,N_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.6 	-0.4 	1.8 	3.8 	1.8 	-1.7 	1.4 	-0.3 	-4.8 	-4.2 	-4.5 	-5.8 	-9.1 	-8.1 	-5.8 	-5.1 	-5.1 	-3.5 	0.0 	0.9 	7.2 	8.4 	12.7 	12.8 	13.8 	17.3 	24.5 	27.8 	29.3 	32.4 	35.8 	36.1 	39.8 	39.3 	38.8 	37.2 	31.7 	34.5 	39.5 	43.3 	41.8 	38.8 	35.7 	34.3 	39.9 	41.8 	48.2 	54.6 	57.3 	51.6 	54.1 	55.5 	59.2 	62.9 	65.0 	63.2 
PC_GDP,NSA,FA,N_LE,WRL_REST,EE	: 	-9.7 	-11.3 	-11.2 	-13.4 	-25.1 	-26.4 	-33.2 	-35.0 	-35.6 	-30.4 	-34.8 	-36.8 	-41.9 	-47.9 	-44.2 	-51.5 	-55.6 	-49.4 	-48.0 	-48.1 	-45.8 	-46.4 	-43.2 	-48.3 	-53.1 	-51.7 	-50.7 	-53.6 	-55.0 	-61.9 	-63.3 	-65.9 	-71.6 	-76.7 	-77.0 	-86.3 	-99.3 	-94.4 	-91.5 	-84.6 	-78.8 	-74.8 	-72.9 	-73.3 	-73.4 	-73.4 	-74.0 	-71.3 	-75.8 	-75.5 	-76.0 	-75.4 	-77.7 	-79.0 	-79.8 	-80.1 	-82.0 	-80.5 	-75.1 	-71.2 	-68.2 	-64.1 	-58.2 	-54.8 	-54.2 	-54.0 	-53.1 	-51.1 	-55.2 	-53.1 	-53.0 	-50.1 	-51.4 	-49.8 	-48.0 	-47.0 	-45.1 	-43.2 	-42.3 	-40.2 	-41.5 	-40.8 	-40.1 	-38.9 	-37.6 	-35.7 	-34.4 	-31.4 	-31.9 	-29.8 	-28.6 	-26.7 
PC_GDP,NSA,FA,N_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-59.6 	-62.9 	-63.2 	-63.0 	-66.9 	-66.4 	-70.6 	-76.8 	-75.6 	-80.4 	-79.9 	-81.5 	-82.6 	-84.3 	-86.5 	-92.6 	-93.7 	-86.4 	-84.8 	-82.6 	-75.8 	-79.5 	-86.0 	-93.3 	-87.5 	-87.7 	-93.7 	-101.4 	-99.0 	-106.5 	-103.0 	-102.4 	-88.8 	-102.6 	-106.1 	-110.9 	-115.9 	-117.8 	-119.7 	-123.1 	-130.4 	-133.8 	-137.1 	-132.6 	-131.9 	-132.4 	-133.1 	-132.5 	-135.4 	-135.9 	-135.2 	-134.5 	-137.8 	-138.2 	-141.7 	-137.0 	-140.5 	-139.5 	-139.6 	-136.4 	-137.9 
PC_GDP,NSA,FA,N_LE,WRL_REST,ES	-21.0 	-22.4 	-23.6 	-23.2 	-23.3 	-25.0 	-27.9 	-29.0 	-27.8 	-34.0 	-34.8 	-32.3 	-36.2 	-34.8 	-33.5 	-32.5 	-34.7 	-38.0 	-35.7 	-37.1 	-34.8 	-37.5 	-37.1 	-36.6 	-38.2 	-39.4 	-39.2 	-38.3 	-44.7 	-45.1 	-48.5 	-46.9 	-48.2 	-49.6 	-50.2 	-51.0 	-55.7 	-56.5 	-57.4 	-60.0 	-58.9 	-59.6 	-60.0 	-63.7 	-67.9 	-72.2 	-73.6 	-76.3 	-79.6 	-81.4 	-81.5 	-80.6 	-80.2 	-83.0 	-88.0 	-91.8 	-93.5 	-92.5 	-87.6 	-92.3 	-88.6 	-92.1 	-92.6 	-92.5 	-91.9 	-91.3 	-90.7 	-92.7 	-89.9 	-90.1 	-90.3 	-93.0 	-95.2 	-97.8 	-99.6 	-98.3 	-98.0 	-98.3 	-93.8 	-92.4 	-89.5 	-90.3 	-87.4 	-88.1 	-85.3 	-86.4 	-88.2 	-86.6 	-83.5 	-83.8 	-82.8 	-80.9 	-77.1 
PC_GDP,NSA,FA,N_LE,WRL_REST,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-92.9 	-100.6 	-100.2 	-181.2 	-194.7 	-185.9 	-154.4 	-156.0 	-90.8 	-86.7 	-61.0 	-92.1 	-78.0 	-48.7 	-43.0 	-48.6 	-59.0 	-69.4 	-59.9 	-62.6 	-28.8 	-14.5 	-10.0 	-9.3 	-9.0 	-15.8 	-12.1 	-14.0 	-24.9 	-17.2 	-14.6 	-14.2 	-17.5 	-24.5 	-31.3 	-27.9 	-13.4 	-5.6 	1.3 	-4.6 	-2.7 	-6.2 	-1.0 	3.2 	5.7 	14.0 	14.0 	16.5 	17.3 	17.1 	18.1 	15.1 	7.0 	11.1 	12.1 	11.7 	11.3 	10.1 	6.2 	3.9 	2.7 	1.8 	0.6 	-3.2 	-0.1 	4.1 	2.6 	1.5 	5.3 	3.8 	2.3 	8.6 	2.9 	1.6 	0.2 	2.2 	-3.9 	-4.3 	-3.9 	-6.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	5.9 	6.9 	0.9 	0.3 	-0.8 	2.4 	2.2 	4.6 	6.0 	10.8 	8.0 	4.9 	5.8 	9.9 	6.7 	7.4 	5.9 	2.5 	-3.1 	-3.7 	-4.4 	-3.6 	-3.4 	-3.2 	-3.2 	-3.9 	-2.0 	-3.8 	-6.5 	-7.3 	-4.8 	-5.0 	-10.4 	-10.8 	-8.9 	-6.9 	-7.4 	-10.4 	-13.8 	-13.3 	-13.1 	-13.8 	-14.8 	-14.9 	-13.5 	-11.6 	-9.3 	-9.9 	-11.7 	-9.8 	-8.7 	-11.5 	-11.0 	-11.7 	-12.8 	-12.5 	-15.6 	-17.6 	-16.6 	-18.2 	-18.5 	-17.1 	-15.6 	-18.2 	-15.1 	-16.1 	-12.9 	-15.7 	-14.4 	-15.7 	-14.9 	-17.2 	-18.5 	-19.7 	-20.1 	-20.2 	-19.4 	-13.4 	-11.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.7 	-27.0 	-28.2 	-23.6 	-17.2 	-24.1 	-24.6 	-24.1 	-26.3 	-28.7 	-31.2 	-29.8 	-35.8 	-38.0 	-40.6 	-43.0 	-47.3 	-53.3 	-53.2 	-53.7 	-56.1 	-62.4 	-66.8 	-70.0 	-73.7 	-88.0 	-90.2 	-88.2 	-89.1 	-83.1 	-79.2 	-74.6 	-73.8 	-79.4 	-82.2 	-86.3 	-86.8 	-88.9 	-88.0 	-85.5 	-94.0 	-98.5 	-97.7 	-93.2 	-91.5 	-94.3 	-93.8 	-89.6 	-90.7 	-93.1 	-90.3 	-87.8 	-88.3 	-90.4 	-90.8 	-86.9 	-85.3 	-86.7 	-85.6 	-77.4 	-76.4 	-75.3 	-73.6 	-70.8 	-69.9 	-71.1 	-68.4 	-62.1 	-62.4 	-64.2 	-60.7 	-53.9 	-54.1 
